CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,GM_2020
01,Aguascalientes,01001,Aguascalientes,Muy bajo
01,Aguascalientes,01002,Asientos,Muy bajo
01,Aguascalientes,01003,Calvillo,Muy bajo
01,Aguascalientes,01004,Cosío,Muy bajo
01,Aguascalientes,01005,Jesús María,Muy bajo
01,Aguascalientes,01006,Pabellón de Arteaga,Muy bajo
01,Aguascalientes,01007,Rincón de Romos,Muy bajo
01,Aguascalientes,01008,San José de Gracia,Muy bajo
01,Aguascalientes,01009,Tepezalá,Muy bajo
01,Aguascalientes,01010,El Llano,Muy bajo
01,Aguascalientes,01011,San Francisco de los Romo,Muy bajo
02,Baja California,02001,Ensenada,Muy bajo
02,Baja California,02002,Mexicali,Muy bajo
02,Baja California,02003,Tecate,Muy bajo
02,Baja California,02004,Tijuana,Muy bajo
02,Baja California,02005,Playas de Rosarito,Muy bajo
02,Baja California,02006,San Quintín,Medio
03,Baja California Sur,03001,Comondú,Muy bajo
03,Baja California Sur,03002,Mulegé,Muy bajo
03,Baja California Sur,03003,La Paz,Muy bajo
03,Baja California Sur,03008,Los Cabos,Muy bajo
03,Baja California Sur,03009,Loreto,Muy bajo
04,Campeche,04001,Calkiní,Bajo
04,Campeche,04002,Campeche,Muy bajo
04,Campeche,04003,Carmen,Muy bajo
04,Campeche,04004,Champotón,Bajo
04,Campeche,04005,Hecelchakán,Bajo
04,Campeche,04006,Hopelchén,Medio
04,Campeche,04007,Palizada,Medio
04,Campeche,04008,Tenabo,Bajo
04,Campeche,04009,Escárcega,Bajo
04,Campeche,04010,Calakmul,Alto
04,Campeche,04011,Candelaria,Alto
04,Campeche,04012,Seybaplaya,Bajo
05,Coahuila de Zaragoza,05001,Abasolo,Muy bajo
05,Coahuila de Zaragoza,05002,Acuña,Muy bajo
05,Coahuila de Zaragoza,05003,Allende,Muy bajo
05,Coahuila de Zaragoza,05004,Arteaga,Muy bajo
05,Coahuila de Zaragoza,05005,Candela,Bajo
05,Coahuila de Zaragoza,05006,Castaños,Muy bajo
05,Coahuila de Zaragoza,05007,Cuatro Ciénegas,Muy bajo
05,Coahuila de Zaragoza,05008,Escobedo,Bajo
05,Coahuila de Zaragoza,05009,Francisco I. Madero,Muy bajo
05,Coahuila de Zaragoza,05010,Frontera,Muy bajo
05,Coahuila de Zaragoza,05011,General Cepeda,Muy bajo
05,Coahuila de Zaragoza,05012,Guerrero,Bajo
05,Coahuila de Zaragoza,05013,Hidalgo,Bajo
05,Coahuila de Zaragoza,05014,Jiménez,Bajo
05,Coahuila de Zaragoza,05015,Juárez,Muy bajo
05,Coahuila de Zaragoza,05016,Lamadrid,Muy bajo
05,Coahuila de Zaragoza,05017,Matamoros,Muy bajo
05,Coahuila de Zaragoza,05018,Monclova,Muy bajo
05,Coahuila de Zaragoza,05019,Morelos,Muy bajo
05,Coahuila de Zaragoza,05020,Múzquiz,Muy bajo
05,Coahuila de Zaragoza,05021,Nadadores,Muy bajo
05,Coahuila de Zaragoza,05022,Nava,Muy bajo
05,Coahuila de Zaragoza,05023,Ocampo,Bajo
05,Coahuila de Zaragoza,05024,Parras,Muy bajo
05,Coahuila de Zaragoza,05025,Piedras Negras,Muy bajo
05,Coahuila de Zaragoza,05026,Progreso,Bajo
05,Coahuila de Zaragoza,05027,Ramos Arizpe,Muy bajo
05,Coahuila de Zaragoza,05028,Sabinas,Muy bajo
05,Coahuila de Zaragoza,05029,Sacramento,Muy bajo
05,Coahuila de Zaragoza,05030,Saltillo,Muy bajo
05,Coahuila de Zaragoza,05031,San Buenaventura,Muy bajo
05,Coahuila de Zaragoza,05032,San Juan de Sabinas,Muy bajo
05,Coahuila de Zaragoza,05033,San Pedro,Muy bajo
05,Coahuila de Zaragoza,05034,Sierra Mojada,Muy bajo
05,Coahuila de Zaragoza,05035,Torreón,Muy bajo
05,Coahuila de Zaragoza,05036,Viesca,Bajo
05,Coahuila de Zaragoza,05037,Villa Unión,Muy bajo
05,Coahuila de Zaragoza,05038,Zaragoza,Muy bajo
06,Colima,06001,Armería,Bajo
06,Colima,06002,Colima,Muy bajo
06,Colima,06003,Comala,Muy bajo
06,Colima,06004,Coquimatlán,Muy bajo
06,Colima,06005,Cuauhtémoc,Muy bajo
06,Colima,06006,Ixtlahuacán,Bajo
06,Colima,06007,Manzanillo,Muy bajo
06,Colima,06008,Minatitlán,Muy bajo
06,Colima,06009,Tecomán,Muy bajo
06,Colima,06010,Villa de Álvarez,Muy bajo
07,Chiapas,07001,Acacoyagua,Medio
07,Chiapas,07002,Acala,Medio
07,Chiapas,07003,Acapetahua,Alto
07,Chiapas,07004,Altamirano,Alto
07,Chiapas,07005,Amatán,Alto
07,Chiapas,07006,Amatenango de la Frontera,Alto
